time_sec,frequency_hz
0.0000,411.7905
0.0143,411.7905
0.0286,416.5753
0.0429,416.5753
0.0571,421.4157
0.0714,421.4157
0.0857,421.4157
0.1000,426.3123
0.1143,426.3123
0.1286,431.2658
0.1429,431.2658
0.1571,431.2658
0.1714,431.2658
0.1857,431.2658
0.2000,431.2658
0.2143,431.2658
0.2286,431.2658
0.2429,431.2658
0.2571,431.2658
0.2714,431.2658
0.2857,431.2658
0.3000,431.2658
0.3143,431.2658
0.3286,436.2768
0.3429,436.2768
0.3571,436.2768
0.3714,436.2768
0.3857,436.2768
0.4000,436.2768
0.4143,436.2768
0.4286,436.2768
0.4429,436.2768
0.4571,436.2768
0.4714,436.2768
0.4857,436.2768
0.5000,436.2768
0.5143,436.2768
0.5286,436.2768
0.5429,436.2768
0.5571,436.2768
0.5714,436.2768
0.5857,436.2768
0.6000,436.2768
0.6143,436.2768
0.6286,436.2768
0.6429,436.2768
0.6571,431.2658
0.6714,431.2658
0.6857,436.2768
0.7000,436.2768
0.7143,431.2658
0.7286,436.2768
0.7429,436.2768
0.7571,436.2768
0.7714,436.2768
