time_sec,frequency_hz
0.0000,668.9557
0.0142,668.9557
0.0285,676.7285
0.0428,676.7285
0.0571,676.7285
0.0714,676.7285
0.0857,676.7285
0.1000,676.7285
0.1142,676.7285
0.1285,676.7285
0.1428,676.7285
0.1571,676.7285
0.1714,676.7285
0.1857,676.7285
0.2000,676.7285
0.2142,676.7285
0.2285,676.7285
0.2428,676.7285
0.2571,676.7285
0.2714,676.7285
0.2857,676.7285
0.3000,676.7285
0.3142,676.7285
0.3285,676.7285
0.3428,676.7285
0.3571,676.7285
0.3714,676.7285
0.3857,676.7285
0.4000,676.7285
0.4142,676.7285
0.4285,676.7285
0.4428,676.7285
0.4571,676.7285
0.4714,684.5918
0.4857,684.5918
0.5000,684.5918
0.5142,692.5463
0.5285,692.5463
0.5428,692.5463
0.5571,692.5463
0.5714,692.5463
0.5857,700.5933
0.6000,700.5933
0.6142,700.5933
0.6285,700.5933
0.6428,700.5933
0.6571,700.5933
0.6714,700.5933
0.6857,708.7338
0.7000,708.7338
0.7142,708.7338
0.7285,708.7338
0.7428,708.7338
0.7571,708.7338
0.7714,708.7338
0.7857,708.7338
