time_sec,frequency_hz,frequency_mel,confidence,voiced
0.0071,,,0.0000,False
0.0214,,,0.0000,False
0.0357,,,0.0000,False
0.0500,,,0.0000,False
0.0643,,,0.0000,False
0.0786,,,0.0000,False
0.0929,,,0.0000,False
0.1071,,,0.0000,False
0.1214,,,0.0000,False
0.1357,,,0.0000,False
0.1500,,,0.0000,False
0.1643,,,0.0000,False
0.1786,,,0.0000,False
0.1929,,,0.0000,False
0.2071,,,0.0000,False
0.2214,,,0.0000,False
0.2357,,,0.0000,False
0.2500,,,0.0000,False
0.2643,,,0.0000,False
0.2786,,,0.0000,False
0.2929,,,0.0000,False
0.3071,,,0.0000,False
0.3214,,,0.0000,False
0.3357,,,0.0000,False
0.3500,,,0.0000,False
0.3643,,,0.0000,False
0.3786,,,0.0000,False
0.3929,,,0.0000,False
0.4071,,,0.0000,False
0.4214,,,0.0000,False
0.4357,,,0.0000,False
0.4500,,,0.0000,False
0.4643,,,0.0000,False
0.4786,,,0.0000,False
0.4929,,,0.0000,False
0.5071,,,0.0000,False
0.5214,,,0.0000,False
0.5357,,,0.0000,False
0.5500,,,0.0000,False
0.5643,,,0.0000,False
0.5786,,,0.0000,False
0.5929,,,0.0000,False
0.6071,,,0.0000,False
0.6214,,,0.0000,False
0.6357,,,0.0000,False
0.6500,,,0.0000,False
0.6643,,,0.0000,False
0.6786,,,0.0000,False
0.6929,,,0.0000,False
0.7071,,,0.0000,False
0.7214,,,0.0000,False
0.7357,,,0.0000,False
0.7500,,,0.0000,False
0.7643,,,0.0000,False
0.7786,,,0.0000,False
0.7929,,,0.0000,False
0.8071,,,0.0000,False
0.8214,,,0.0000,False
0.8357,,,0.0000,False
0.8500,,,0.0000,False
0.8643,,,0.0000,False
0.8786,,,0.0000,False
0.8929,,,0.0000,False
0.9071,,,0.0000,False
0.9214,,,0.0000,False
0.9357,,,0.0000,False
0.9500,,,0.0000,False
0.9643,,,0.0000,False
0.9786,,,0.0000,False
0.9929,,,0.0000,False
1.0071,,,0.0000,False
1.0214,,,0.0000,False
1.0357,,,0.0000,False
1.0500,,,0.0000,False
1.0643,,,0.0000,False
1.0786,,,0.0000,False
1.0929,,,0.0000,False
1.1071,,,0.0000,False
1.1214,,,0.0000,False
1.1357,,,0.0000,False
1.1500,,,0.0000,False
1.1643,,,0.0000,False
1.1786,,,0.0000,False
1.1929,,,0.0000,False
1.2071,,,0.0000,False
1.2214,,,0.0000,False
1.2357,,,0.0000,False
1.2500,,,0.0000,False
1.2643,,,0.0000,False
1.2786,,,0.0000,False
1.2929,,,0.0000,False
1.3071,,,0.0000,False
1.3214,,,0.0000,False
1.3357,,,0.0000,False
1.3500,,,0.0000,False
1.3643,,,0.0000,False
