time_sec,frequency_hz
0.0000,220.6731
0.0142,218.1384
0.0285,218.1384
0.0428,218.1384
0.0571,218.1384
0.0714,218.1384
0.0857,218.1384
0.1000,218.1384
0.1142,218.1384
0.1285,218.1384
0.1428,218.1384
0.1571,218.1384
0.1714,218.1384
0.1857,218.1384
0.2000,218.1384
0.2142,218.1384
0.2285,218.1384
0.2428,218.1384
0.2571,218.1384
0.2714,218.1384
0.2857,218.1384
0.3000,218.1384
0.3142,218.1384
0.3285,218.1384
0.3428,218.1384
0.3571,218.1384
0.3714,218.1384
0.3857,218.1384
0.4000,218.1384
0.4142,218.1384
0.4285,218.1384
0.4428,218.1384
0.4571,218.1384
0.4714,218.1384
0.4857,218.1384
0.5000,218.1384
0.5142,218.1384
0.5285,218.1384
0.5428,218.1384
0.5571,220.6731
0.5714,220.6731
0.5857,220.6731
0.6000,220.6731
0.6142,220.6731
0.6285,220.6731
0.6428,220.6731
0.6571,220.6731
0.6714,220.6731
0.6857,220.6731
0.7000,220.6731
0.7142,220.6731
0.7285,220.6731
0.7428,220.6731
0.7571,220.6731
0.7714,220.6731
0.7857,220.6731
0.8000,220.6731
0.8142,220.6731
0.8285,220.6731
0.8428,220.6731
0.8571,220.6731
0.8714,220.6731
0.8857,220.6731
0.9000,220.6731
0.9142,220.6731
0.9285,220.6731
0.9428,220.6731
0.9571,220.6731
0.9714,220.6731
0.9857,220.6731
1.0000,220.6731
1.0142,220.6731
1.0285,220.6731
1.0428,220.6731
1.0571,220.6731
1.0714,220.6731
1.0857,220.6731
1.1000,223.2372
1.1142,223.2372
1.1285,223.2372
1.1428,223.2372
1.1571,223.2372
1.1714,223.2372
1.1857,223.2372
1.2000,225.8311
1.2142,225.8311
1.2285,225.8311
1.2428,225.8311
1.2571,225.8311
1.2714,225.8311
1.2857,225.8311
1.3000,228.4551
1.3142,228.4551
1.3285,228.4551
1.3428,228.4551
1.3571,228.4551
1.3714,231.1096
1.3857,231.1096
1.4000,231.1096
1.4142,231.1096
1.4285,231.1096
1.4428,231.1096
1.4571,231.1096
1.4714,233.7950
1.4857,233.7950
1.5000,233.7950
1.5142,233.7950
1.5285,233.7950
1.5428,233.7950
1.5571,233.7950
1.5714,233.7950
1.5857,236.5115
1.6000,236.5115
1.6142,236.5115
1.6285,236.5115
1.6428,236.5115
1.6571,236.5115
1.6714,239.2597
1.6857,239.2597
1.7000,239.2597
1.7142,239.2597
1.7285,239.2597
1.7428,239.2597
1.7571,239.2597
1.7714,239.2597
1.7857,242.0397
1.8000,242.0397
1.8142,242.0397
1.8285,242.0397
1.8428,242.0397
1.8571,242.0397
1.8714,242.0397
1.8857,244.8521
1.9000,244.8521
1.9142,244.8521
1.9285,244.8521
1.9428,244.8521
1.9571,244.8521
1.9714,247.6971
1.9857,247.6971
2.0000,247.6971
2.0142,247.6971
2.0285,247.6971
2.0428,247.6971
2.0571,247.6971
2.0714,250.5752
2.0857,250.5752
2.1000,250.5752
2.1142,250.5752
2.1285,250.5752
2.1428,250.5752
2.1571,253.4868
2.1714,253.4868
2.1857,253.4868
2.2000,253.4868
2.2142,253.4868
2.2285,256.4322
2.2428,256.4322
2.2571,256.4322
2.2714,256.4322
2.2857,256.4322
2.3000,259.4118
2.3142,259.4118
2.3285,259.4118
2.3428,259.4118
2.3571,259.4118
2.3714,259.4118
2.3857,262.4260
2.4000,262.4260
2.4142,262.4260
2.4285,262.4260
2.4428,262.4260
2.4571,262.4260
2.4714,265.4752
2.4857,265.4752
2.5000,265.4752
2.5142,265.4752
2.5285,265.4752
2.5428,268.5599
2.5571,268.5599
2.5714,268.5599
2.5857,268.5599
2.6000,271.6804
2.6142,271.6804
2.6285,271.6804
2.6428,271.6804
2.6571,271.6804
2.6714,274.8372
2.6857,274.8372
2.7000,274.8372
2.7142,274.8372
2.7285,274.8372
2.7428,274.8372
2.7571,274.8372
2.7714,278.0306
2.7857,278.0306
2.8000,278.0306
2.8142,278.0306
2.8285,278.0306
2.8428,278.0306
2.8571,281.2612
2.8714,281.2612
2.8857,281.2612
2.9000,281.2612
2.9142,281.2612
2.9285,284.5293
2.9428,284.5293
2.9571,284.5293
2.9714,284.5293
2.9857,284.5293
3.0000,287.8354
3.0142,287.8354
3.0285,287.8354
3.0428,287.8354
3.0571,287.8354
3.0714,287.8354
3.0857,287.8354
3.1000,287.8354
3.1142,287.8354
3.1285,287.8354
3.1428,287.8354
3.1571,287.8354
3.1714,287.8354
3.1857,287.8354
3.2000,287.8354
3.2142,287.8354
3.2285,287.8354
3.2428,287.8354
3.2571,287.8354
3.2714,287.8354
3.2857,287.8354
3.3000,287.8354
3.3142,287.8354
3.3285,287.8354
3.3428,287.8354
3.3571,291.1799
3.3714,291.1799
3.3857,291.1799
3.4000,287.8354
3.4142,287.8354
3.4285,291.1799
3.4428,291.1799
3.4571,291.1799
3.4714,291.1799
3.4857,291.1799
3.5000,291.1799
3.5142,291.1799
3.5285,291.1799
3.5428,291.1799
3.5571,287.8354
3.5714,287.8354
3.5857,287.8354
3.6000,287.8354
3.6142,287.8354
3.6285,287.8354
3.6428,287.8354
3.6571,287.8354
3.6714,287.8354
3.6857,287.8354
3.7000,287.8354
3.7142,287.8354
3.7285,287.8354
3.7428,287.8354
3.7571,291.1799
3.7714,291.1799
3.7857,291.1799
3.8000,291.1799
3.8142,291.1799
3.8285,291.1799
3.8428,291.1799
3.8571,291.1799
3.8714,291.1799
3.8857,291.1799
3.9000,291.1799
3.9142,291.1799
